country,country_code,ppp_2024
Aruba,ABW,1.39592218185229
Africa Eastern and Southern,AFE,
Afghanistan,AFG,
Africa Western and Central,AFW,
Angola,AGO,265.840925124981
Albania,ALB,39.6673837913105
Andorra,AND,0.607839175148891
Arab World,ARB,
United Arab Emirates,ARE,2.33033434270159
Argentina,ARG,419.901039679183
Armenia,ARM,147.231105454721
American Samoa,ASM,
Antigua and Barbuda,ATG,1.90391952523762
Australia,AUS,1.366527
Austria,AUT,0.710451
Azerbaijan,AZE,0.49354478660225
Burundi,BDI,875.87514263987
Belgium,BEL,0.704288
Benin,BEN,203.098489252852
Burkina Faso,BFA,205.610818525697
Bangladesh,BGD,29.8787873077242
Bulgaria,BGR,0.757951749098367
Bahrain,BHR,0.166560122951055
"Bahamas, The",BHS,0.957704490977285
Bosnia and Herzegovina,BIH,0.675500053313931
Belarus,BLR,0.817945059163395
Belize,BLZ,1.07081642735075
Bermuda,BMU,1.14971520694886
Bolivia,BOL,2.37235000544932
Brazil,BRA,2.48731718948001
Barbados,BRB,2.13877200243175
Brunei Darussalam,BRN,0.492817644064286
Bhutan,BTN,
Botswana,BWA,5.08218196380313
Central African Republic,CAF,247.78023515424
Canada,CAN,1.150472
Central Europe and the Baltics,CEB,
Switzerland,CHE,0.972889
Channel Islands,CHI,
Chile,CHL,435.778953
China,CHN,3.5325492491585
Cote d'Ivoire,CIV,215.672888731457
Cameroon,CMR,198.536346180777
"Congo, Dem. Rep.",COD,1006.63613613611
"Congo, Rep.",COG,214.20757379411
Colombia,COL,1443.718515
Comoros,COM,190.919893997601
Cabo Verde,CPV,47.2731098785268
Costa Rica,CRI,307.792355
Caribbean small states,CSS,
Cuba,CUB,
Curacao,CUW,1.25013046369671
Cayman Islands,CYM,
Cyprus,CYP,0.56709589608174
Czechia,CZE,12.823227
Germany,DEU,0.700862
Djibouti,DJI,80.8413593974005
Dominica,DMA,1.31893659155379
Denmark,DNK,6.050211
Dominican Republic,DOM,23.5211016601759
Algeria,DZA,43.7670017603446
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe & Central Asia (excluding high income),ECA,
Europe & Central Asia,ECS,
Ecuador,ECU,0.434001889105821
"Egypt, Arab Rep.",EGY,6.24782044764882
Euro area,EMU,
Eritrea,ERI,
Spain,ESP,0.562107
Estonia,EST,0.576166
Ethiopia,ETH,27.1439173234342
European Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,0.753945
Fiji,FJI,0.943380395118387
France,FRA,0.681239
Faroe Islands,FRO,6.23885052437826
"Micronesia, Fed. Sts.",FSM,0.958397910812363
Gabon,GAB,231.994789334726
United Kingdom,GBR,0.664153
Georgia,GEO,0.888955306771079
Ghana,GHA,4.23340273263268
Gibraltar,GIB,
Guinea,GIN,3185.82499261202
"Gambia, The",GMB,16.9791581265962
Guinea-Bissau,GNB,195.885394476863
Equatorial Guinea,GNQ,232.828458225939
Greece,GRC,0.515086
Grenada,GRD,1.56626237427165
Greenland,GRL,
Guatemala,GTM,3.32078331028962
Guam,GUM,
Guyana,GUY,77.19150912571
High income,HIC,
"Hong Kong SAR, China",HKG,5.61186695779567
Honduras,HND,11.3509098940535
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,0.44841971235566
Haiti,HTI,88.7402552926905
Hungary,HUN,175.578089
IBRD only,IBD,
IDA & IBRD total,IBT,
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,4747.90857563225
IDA only,IDX,
Isle of Man,IMN,
India,IND,20.4219876045922
Not classified,INX,
Ireland,IRL,0.740894
"Iran, Islamic Rep.",IRN,118268.070633131
Iraq,IRQ,545.873856082559
Iceland,ISL,141.758111
Israel,ISR,3.50198
Italy,ITA,0.599627
Jamaica,JAM,94.1020890725982
Jordan,JOR,0.302994117340261
Japan,JPN,94.462599
Kazakhstan,KAZ,162.334081288311
Kenya,KEN,43.2712900869078
Kyrgyz Republic,KGZ,26.3240076204654
Cambodia,KHM,1343.28353426878
Kiribati,KIR,0.936735709636135
St. Kitts and Nevis,KNA,1.85652998326696
"Korea, Rep.",KOR,809.26722
Kuwait,KWT,0.191333746031327
Latin America & Caribbean (excluding high income),LAC,
Lao PDR,LAO,4381.7249520295
Lebanon,LBN,
Liberia,LBR,0.455092288485533
Libya,LBY,2.21923878847227
St. Lucia,LCA,1.38897762585527
Latin America & Caribbean,LCN,
Least developed countries: UN classification,LDC,
Low income,LIC,
Liechtenstein,LIE,
Sri Lanka,LKA,87.2686054398767
Lower middle income,LMC,
Low & middle income,LMY,
Lesotho,LSO,5.93562011325191
Late-demographic dividend,LTE,
Lithuania,LTU,0.49104
Luxembourg,LUX,0.815579
Latvia,LVA,0.496528
"Macao SAR, China",MAC,4.55805241034254
St. Martin (French part),MAF,
Morocco,MAR,3.96453983304242
Monaco,MCO,
Moldova,MDA,7.2411629601227
Madagascar,MDG,1309.39787463694
Maldives,MDV,7.86384927688972
"Middle East, North Africa, Afghanistan & Pakistan",MEA,
Mexico,MEX,9.916562
Marshall Islands,MHL,0.942852652244908
Middle income,MIC,
North Macedonia,MKD,19.575621107299
Mali,MLI,200.230096581045
Malta,MLT,0.580522225637102
Myanmar,MMR,475.868546974899
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,
Montenegro,MNE,0.359929249277126
Mongolia,MNG,1195.34284153461
Northern Mariana Islands,MNP,
Mozambique,MOZ,24.6111381541877
Mauritania,MRT,11.3448905855963
Mauritius,MUS,17.4796592721433
Malawi,MWI,489.016043071952
Malaysia,MYS,1.40132714240358
North America,NAC,
Namibia,NAM,6.92131935400361
New Caledonia,NCL,
Niger,NER,217.484010909486
Nigeria,NGA,176.331472743819
Nicaragua,NIC,11.9751457059146
Netherlands,NLD,0.731421
Norway,NOR,9.142143
Nepal,NPL,33.5637990824022
Nauru,NRU,1.46463963215346
New Zealand,NZL,1.463912
OECD members,OED,
Oman,OMN,0.186862455706877
Other small states,OSS,
Pakistan,PAK,66.9591494127257
Panama,PAN,0.463173466609024
Peru,PER,1.78230274124247
Philippines,PHL,19.35653268202
Palau,PLW,
Papua New Guinea,PNG,2.37637373433914
Poland,POL,1.949414
Pre-demographic dividend,PRE,
Puerto Rico (US),PRI,0.782993024701742
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,0.515993
Paraguay,PRY,2618.66324027055
West Bank and Gaza,PSE,0.593054191376851
Pacific island small states,PSS,
Post-demographic dividend,PST,
French Polynesia,PYF,
Qatar,QAT,2.21463640986909
Romania,ROU,1.88148626695853
Russian Federation,RUS,29.0629745679481
Rwanda,RWA,355.085581602396
South Asia,SAS,
Saudi Arabia,SAU,1.84526161631689
Sudan,SDN,729.476687377877
Senegal,SEN,212.040442650725
Singapore,SGP,0.804049648989492
Solomon Islands,SLB,6.11160632540053
Sierra Leone,SLE,5.17268406300254
El Salvador,SLV,0.420661059675436
San Marino,SMR,
"Somalia, Fed. Rep.",SOM,11049.7242096074
Serbia,SRB,45.078998701649
Sub-Saharan Africa (excluding high income),SSA,
South Sudan,SSD,
Sub-Saharan Africa,SSF,
Small states,SST,
Sao Tome and Principe,STP,12.7576056454318
Suriname,SUR,10.5958917756902
Slovak Republic,SVK,0.501903
Slovenia,SVN,0.550461
Sweden,SWE,8.490485
Eswatini,SWZ,6.06939955235508
Sint Maarten (Dutch part),SXM,1.38065436506043
Seychelles,SYC,7.80668759041487
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,0.988206691271252
Chad,TCD,212.580975482862
East Asia & Pacific (IDA & IBRD countries),TEA,
Europe & Central Asia (IDA & IBRD countries),TEC,
Togo,TGO,201.675895153365
Thailand,THA,10.4923732985879
Tajikistan,TJK,2.67931126140168
Turkmenistan,TKM,1.5118910193265
Latin America & the Caribbean (IDA & IBRD countries),TLA,
Timor-Leste,TLS,0.301161456791842
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,
Tonga,TON,
South Asia (IDA & IBRD),TSA,
Sub-Saharan Africa (IDA & IBRD countries),TSS,
Trinidad and Tobago,TTO,3.48081488254357
Tunisia,TUN,0.896141941458351
Turkiye,TUR,11.554529
Tuvalu,TUV,1.57916853769056
Tanzania,TZA,730.424331119855
Uganda,UGA,1244.29989240795
Ukraine,UKR,11.6654001366924
Upper middle income,UMC,
Uruguay,URY,26.3976838152141
United States,USA,1.0
Uzbekistan,UZB,3367.64393969072
St. Vincent and the Grenadines,VCT,1.45981547183907
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,6956.92750425086
Vanuatu,VUT,112.727226133825
World,WLD,
Samoa,WSM,1.70117853616414
Kosovo,XKX,0.363398029446885
"Yemen, Rep.",YEM,
South Africa,ZAF,7.43191283878561
Zambia,ZMB,7.3696780609959
Zimbabwe,ZWE,8.34539184866139
